TOKEN	NER	de_core_news_sm--03-26-06-08-38	/content/drive/MyDrive/NLP_Project_New/models/sermons_60it--03-26-06-15-17	dbmdz/bert-base-german-cased--03-26-06-43-39	/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep--03-26-07-51-24	dbmdz/flair-historic-ner-onb--03-26-08-44-50	dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5--03-26-09-37-54
Darum	O	O	O	B-LOC	O	O	O
auch	O	O	O	B-PER	O	O	O
der	O	O	O	O	O	O	O
selige	O	O	O	B-LOC	O	O	O
Osman	B-PER	O	O	O	B-PER	B-PER	O
sich	O	O	O	O	O	O	O
sehr	O	O	O	O	O	O	O
bemühet	O	O	O	O	O	O	O
hat	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Lateinischen	O	O	O	O	O	O	O
Gesänge	O	O	O	B-PER	O	O	O
der	O	O	O	B-LOC	O	O	O
alten	O	O	O	O	O	O	O
Kirchen	O	O	O	O	O	O	O
Lehrer	O	O	O	B-PER	O	O	O
Eckhart	B-PER	B-PER	O	B-LOC	B-PER	B-PER	O
,	O	O	O	O	O	O	O
Jasmin	B-PER	B-PER	B-PER	B-PER	B-PER	B-PER	B-PER
und	O	O	O	O	O	O	O
anderer	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
verdeutschen	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
selber	O	O	O	B-PER	O	O	O
neue	O	O	O	B-LOC	O	O	O
geistreiche	O	O	O	O	O	O	O
Lieder	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
dichten	O	O	O	B-PER	O	O	O
:	O	O	O	O	O	O	O
							
Und	O	O	O	B-LOC	O	O	O
da	O	O	O	O	O	O	O
lässt	O	O	O	B-PER	O	O	O
Gott	O	O	O	B-LOC	O	B-PER	O
die	O	O	O	O	O	O	O
Seinen	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
weilen	O	O	O	O	O	O	O
eine	O	O	O	O	O	O	O
Zeitlang	O	O	O	O	O	O	O
zappeln	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
mit	O	O	O	O	O	O	O
Christo	O	B-PER	O	O	O	B-PER	O
am	O	I-PER	O	O	O	O	O
Creutze	O	I-PER	O	O	O	O	O
hangen	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
da	O	O	O	B-LOC	O	O	O
ihr	O	O	O	O	O	O	O
das	O	O	O	B-PER	O	O	O
erste	O	O	O	B-LOC	O	O	O
mal	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
dieser	O	O	O	O	O	O	O
Kirche	O	O	O	B-PER	O	O	O
euren	O	O	O	O	O	O	O
Gott	O	O	O	B-LOC	O	O	O
mit	O	O	O	O	O	O	O
wohlklingender	O	O	O	O	O	O	O
Einstimmung	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Orgel	O	O	O	O	O	O	O
habt	O	O	O	O	O	O	O
loben	O	O	O	O	O	O	O
können	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
de	O	O	O	B-LOC	O	O	O
pest	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Mehr	O	O	O	B-LOC	O	O	O
ist	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
einem	O	O	O	B-PER	O	O	O
Berge	O	O	O	B-LOC	O	O	O
eine	O	O	O	O	O	O	O
Orgel	O	O	O	O	O	O	O
mit	O	O	O	O	O	O	O
zweyen	O	B-PER	O	O	O	O	O
Registern	O	I-PER	O	B-PER	O	O	O
und	O	O	O	B-LOC	O	O	O
anderswo	O	O	O	O	O	O	O
in	O	O	O	B-PER	O	O	O
einem	O	O	O	O	O	O	O
Lustgarten	O	O	O	B-LOC	O	O	O
ein	O	O	O	B-PER	O	O	O
Orgelwerk	O	O	O	B-LOC	O	O	O
von	O	O	O	O	O	O	O
4	O	O	O	O	O	O	O
Registern	O	O	O	O	O	O	O
gefunden	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
gesehen	O	O	O	O	O	O	O
worden	O	O	O	B-PER	O	O	O
so	O	O	O	B-LOC	O	O	O
vom	O	O	O	O	O	O	O
Wasser	O	O	O	O	O	O	O
getrieben	O	O	O	B-PER	O	O	O
worden	O	O	O	O	O	O	O
und	O	O	O	B-LOC	O	O	O
so	O	O	O	O	O	O	O
künstlich	O	O	O	O	O	O	O
angericht	O	O	O	O	O	O	O
gewesen	O	O	O	O	O	O	O
daß	O	O	O	B-PER	O	O	O
sie	O	O	O	B-LOC	O	O	O
sich	O	O	O	B-PER	O	O	O
selber	O	O	O	B-LOC	O	O	O
geschlagen	O	O	O	O	O	O	O
haben	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
So	O	O	O	B-LOC	O	O	O
deine	O	O	O	B-PER	O	O	O
Hand	O	O	O	B-LOC	O	O	O
oder	O	O	O	B-PER	O	O	O
dein	O	O	O	O	O	O	O
Fuß	O	O	O	B-LOC	O	O	O
dich	O	O	O	B-PER	O	O	O
ärgert	O	O	O	O	O	O	O
so	O	O	O	B-LOC	O	O	O
haue	O	B-PER	O	B-PER	O	O	O
ihn	O	O	O	O	O	O	O
ab	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
wirff	O	O	O	B-LOC	O	O	O
ihn	O	O	O	B-PER	O	O	O
von	O	O	O	B-LOC	O	O	O
dir	O	O	O	B-PER	O	O	O
:	O	O	O	B-LOC	O	O	O
							
Sey	O	O	O	I-LOC	O	O	O
getrost	O	O	O	O	O	O	O
mein	O	O	O	B-PER	O	O	O
Sohn	O	B-PER	O	O	O	O	O
meine	O	O	O	O	O	O	O
Tochter	O	O	O	O	O	O	O
dir	O	O	O	B-LOC	O	O	O
sind	O	O	O	O	O	O	O
deine	O	B-PER	O	B-PER	O	O	O
Sünde	O	I-PER	O	B-LOC	O	O	O
vergeben	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Wenn	O	O	O	I-LOC	O	O	O
wir	O	O	O	O	O	O	O
nur	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
jenen	O	O	O	O	O	O	O
unsern	O	O	O	B-PER	O	O	O
auffenthalt	O	O	O	B-LOC	O	O	O
haben	O	O	O	B-PER	O	O	O
und	O	O	O	B-LOC	O	O	O
in	O	O	O	O	O	O	O
treugen	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
warmen	O	O	O	B-LOC	O	O	O
seyn	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
mit	O	O	O	O	O	O	O
diesen	O	O	O	O	O	O	O
unsere	O	O	O	B-PER	O	O	O
blöse	O	O	O	B-LOC	O	O	O
bedecken	O	O	O	B-PER	O	O	O
können	O	O	O	B-LOC	O	O	O
.	O	O	O	B-PER	O	O	O
							
singen	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
spielen	O	O	O	B-PER	O	O	O
in	O	O	O	O	O	O	O
unsern	O	O	O	O	O	O	O
Hertzen	O	O	O	B-LOC	O	O	O
.	O	O	O	O	O	O	O
							
es	O	O	O	B-LOC	O	O	O
ist	O	O	O	B-PER	O	O	O
dise	O	O	O	O	O	O	O
Ursach	O	O	O	B-LOC	O	O	O
das	O	O	O	B-PER	O	O	O
Täubel	O	O	O	B-LOC	O	O	O
hatte	O	O	O	B-PER	O	O	O
das	O	O	O	O	O	O	O
erste	O	O	O	B-LOC	O	O	O
mahl	O	O	O	O	O	O	O
nichts	O	O	O	O	O	O	O
das	O	O	O	B-PER	O	O	O
Täubel	O	O	O	B-LOC	O	O	O
war	O	O	O	B-PER	O	O	O
ein	O	O	O	O	O	O	O
armer	O	O	O	O	O	O	O
Teuffel	O	O	O	B-LOC	O	O	O
dahero	O	O	O	O	O	O	O
traute	O	O	O	O	O	O	O
es	O	O	O	O	O	O	O
sich	O	O	O	B-PER	O	O	O
nicht	O	O	O	B-LOC	O	O	O
